Age,Sex,Race,Marital status,Education,Employment,Incomes,Number of books read,Printed books?,Audiobooks?,E-books?,Source of the last book read,Daily news/newspapers reader?,Magazines/Journals reader?
49,Female,Black/African-American,Never been married,Some high school,Unemployed,$100k-150k,25,Yes,No,No,Borrowed from library,No,Yes
17,Female,Black/African-American,Never been married,High school,Employed part-time,$20k-30k,25,Yes,No,No,Borrowed from library,No,Yes
83,Female,White,Widowed,Some college,Retired,$20k-30k,25,Yes,No,No,Purchased,Yes,No
82,Male,White,Married,Post-graduate,Retired,$50k-75k,25,Yes,No,No,Purchased,Yes,Yes
79,Female,White,Widowed,High school,Retired,$30k-40k,25,Yes,Yes,No,Borrowed from others,Yes,Yes
78,Male,White,Married,Post-graduate,Retired,$50k-75k,25,Yes,Yes,No,Purchased,Yes,No
76,Female,White,Living with a partner,College,Retired,$20k-30k,25,Yes,Yes,No,Purchased,Yes,Yes
75,Female,White,Widowed,College,Retired,$30k-40k,25,Yes,Yes,No,Purchased,Yes,Yes
74,Male,White,Married,Post-graduate,Unemployed,$100k-150k,25,Yes,No,Yes,Purchased,Yes,Yes
74,Female,White,Widowed,Trade school,Retired,$50k-75k,25,Yes,Yes,Yes,Purchased,Yes,No
72,Male,White,Married,High school,Retired,$50k-75k,25,Yes,No,No,Purchased,Yes,No
72,Female,White,Married,Post-graduate,Employed full-time,$40k-50k,25,Yes,No,No,Purchased,No,Yes
69,Female,White,Married,Some college,Employed part-time,$50k-75k,25,Yes,Yes,No,Borrowed from others,No,No
67,Male,White,Married,College,Employed full-time,$100k-150k,25,No,Yes,Yes,Purchased,Yes,Yes
66,Male,White,Married,College,Employed part-time,$75k-100k,25,Yes,No,No,Purchased,Yes,No
65,Female,White,Divorced,High school,Employed part-time,$10k-20k,25,Yes,No,No,Purchased,Yes,Yes
63,Female,White,Living with a partner,High school,Retired,$75k-100k,25,Yes,No,Yes,Borrowed from library,Yes,No
63,Male,White,Married,Post-graduate,Retired,$100k-150k,25,Yes,No,No,Purchased,Yes,Yes
63,Female,White,Married,Post-graduate,Employed part-time,$50k-75k,25,Yes,No,No,Borrowed from others,Yes,Yes
60,Male,White,Married,College,Retired,$75k-100k,25,Yes,No,Yes,Purchased,Yes,No
58,Female,White,Divorced,Post-graduate,Employed full-time,$50k-75k,25,Yes,No,Yes,Other sources,Yes,Yes
56,Male,White,Married,Some college,Retired,$75k-100k,25,Yes,Yes,Yes,Purchased,Yes,Yes
55,Female,White,Married,College,Retired,$75k-100k,25,Yes,No,Yes,Purchased,Yes,Yes
52,Female,White,Never been married,Some college,Employed full-time,$40k-50k,25,Yes,No,Yes,Purchased,No,Yes
52,Female,White,Living with a partner,Post-graduate,Employed full-time,$100k-150k,25,Yes,Yes,Yes,Borrowed from others,Yes,Yes
49,Female,White,Married,College,Employed full-time,$75k-100k,25,Yes,No,Yes,Purchased,Yes,Yes
49,Female,White,Married,Post-graduate,Employed part-time,$100k-150k,25,Yes,No,No,Purchased,No,Yes
48,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,25,Yes,Yes,Yes,Purchased,No,Yes
47,Female,White,Separated,Post-graduate,Employed full-time,$100k-150k,25,Yes,No,Yes,Purchased,Yes,No
47,Male,White,Married,College,Unemployed,$30k-40k,25,Yes,No,No,Other sources,Yes,Yes
47,Male,White,Married,Post-graduate,Employed full-time,$50k-75k,25,Yes,No,Yes,Purchased,Yes,No
47,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,25,Yes,No,No,Borrowed from library,Yes,Yes
46,Male,White,Single,Some college,Employed full-time,$40k-50k,25,Yes,No,No,Borrowed from library,Yes,Yes
45,Female,White,Married,Post-graduate,Employed full-time,$75k-100k,25,Yes,No,Yes,Purchased,Yes,Yes
44,Female,White,Married,Post-graduate,Employed full-time,$100k-150k,25,Yes,No,Yes,Purchased,Yes,Yes
44,Female,White,Never been married,Some college,Unemployed,$50k-75k,25,Yes,Yes,Yes,Purchased,Yes,No
43,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,25,Yes,No,No,Purchased,No,Yes
42,Female,White,Married,High school,Employed full-time,$50k-75k,25,Yes,No,No,Purchased,No,No
42,Male,White,Married,Trade school,Employed full-time,$40k-50k,25,No,No,No,Purchased,Yes,Yes
40,Male,White,Married,College,Employed full-time,$100k-150k,25,Yes,No,Yes,Purchased,Yes,Yes
39,Male,White,Married,High school,Employed full-time,$75k-100k,25,Yes,No,No,Purchased,Yes,Yes
39,Male,White,Married,College,Self-employed,$40k-50k,25,Yes,No,No,Other sources,No,Yes
38,Female,White,Married,College,Unemployed,$100k-150k,25,Yes,Yes,Yes,Borrowed from others,Yes,Yes
35,Male,White,Married,Some college,Employed full-time,$50k-75k,25,Yes,No,No,Purchased,No,Yes
35,Male,White,Widowed,Post-graduate,Employed full-time,$100k-150k,25,Yes,No,Yes,Borrowed from library,Yes,Yes
34,Female,White,Married,Post-graduate,Employed full-time,$75k-100k,25,Yes,No,Yes,Borrowed from library,Yes,No
32,Female,White,Married,Some college,Disabled,$10k-20k,25,Yes,No,No,Borrowed from others,No,Yes
27,Male,White,Never been married,College,Employed part-time,$50k-75k,25,Yes,Yes,Yes,Borrowed from library,Yes,Yes
27,Female,White,Married,Post-graduate,Employed full-time,$30k-40k,25,Yes,No,No,Purchased,Yes,No
25,Male,White,Never been married,College,Employed full-time,$30k-40k,25,Yes,No,Yes,Borrowed from others,Yes,No
25,Male,White,Married,Some college,Employed full-time,$75k-100k,25,Yes,No,Yes,Other sources,Yes,Yes
24,Female,White,Never been married,High school,Employed full-time,$20k-30k,25,Yes,No,No,Purchased,No,No
23,Male,White,Married,College,Employed full-time,$20k-30k,25,Yes,Yes,No,Borrowed from library,No,No
21,Male,White,Never been married,High school,Employed full-time,<$10k,25,Yes,No,No,Borrowed from others,Yes,Yes
21,Male,White,Never been married,Some college,Unemployed,<$10k,25,No,No,Yes,Other sources,No,No
19,Male,White,Never been married,High school,Unemployed,$10k-20k,25,Yes,No,No,Borrowed from library,Yes,No
17,Male,White,Never been married,Some high school,Employed part-time,$30k-40k,25,Yes,No,No,Borrowed from library,No,No
17,Male,White,Never been married,Some high school,Employed part-time,$50k-75k,25,No,No,Yes,Purchased,Yes,Yes
17,Female,White,Never been married,Some high school,Unemployed,$100k-150k,25,Yes,No,No,Other sources,No,Yes
16,Female,White,Never been married,Some high school,Unemployed,$100k-150k,25,Yes,No,No,Purchased,Yes,No
55,Male,Black/African-American,Divorced,High school,Disabled,$20k-30k,24,Yes,No,No,Other sources,No,No
51,Male,Black/African-American,Separated,High school,Disabled,$20k-30k,24,Yes,No,No,Other sources,Yes,No
30,Male,Black/African-American,Never been married,Some college,Employed full-time,$30k-40k,24,Yes,No,Yes,Purchased,Yes,Yes
85,Female,White,Married,High school,Retired,$40k-50k,24,Yes,No,No,Borrowed from library,Yes,Yes
85,Male,White,Married,College,Employed part-time,$50k-75k,24,Yes,No,No,Borrowed from library,Yes,Yes
84,Female,White,Widowed,High school,Unemployed,$10k-20k,24,Yes,No,No,Purchased,Yes,No
83,Female,White,Widowed,Some college,Retired,$20k-30k,24,Yes,No,No,Borrowed from others,Yes,No
75,Female,White,Married,College,Retired,$50k-75k,24,Yes,Yes,Yes,Other sources,No,Yes
69,Male,White,Never been married,High school,Retired,$20k-30k,24,Yes,No,No,Purchased,Yes,Yes
67,Female,White,Divorced,Post-graduate,Employed part-time,$75k-100k,24,Yes,Yes,Yes,Other sources,No,No
65,Male,White,Married,Some college,Employed part-time,$75k-100k,24,Yes,Yes,No,Purchased,Yes,Yes
64,Female,White,Married,College,Retired,$40k-50k,24,Yes,No,No,Borrowed from library,Yes,No
63,Female,White,Married,Some college,Employed full-time,$40k-50k,24,Yes,No,No,Borrowed from others,Yes,No
62,Male,White,Divorced,Post-graduate,Retired,$40k-50k,24,Yes,No,Yes,Purchased,Yes,Yes
60,Female,White,Married,High school,Employed full-time,$50k-75k,24,No,No,Yes,Purchased,No,No
60,Female,White,Widowed,High school,Employed part-time,$20k-30k,24,Yes,No,No,Purchased,Yes,No
60,Female,White,Married,High school,Employed part-time,$30k-40k,24,Yes,No,No,Borrowed from library,Yes,Yes
60,Male,White,Married,College,Employed full-time,$75k-100k,24,Yes,No,Yes,Other sources,Yes,Yes
59,Female,White,Married,Post-graduate,Unemployed,$75k-100k,24,Yes,Yes,No,Borrowed from library,Yes,Yes
57,Female,White,Married,High school,Employed full-time,$40k-50k,24,Yes,No,No,Purchased,Yes,No
54,Female,White,Married,College,Employed part-time,$100k-150k,24,Yes,No,Yes,Purchased,Yes,Yes
51,Female,White,Married,Trade school,Retired,$50k-75k,24,Yes,No,Yes,Other sources,No,Yes
50,Male,White,Married,Some college,Unemployed,$50k-75k,24,Yes,No,No,Borrowed from others,Yes,Yes
50,Female,White,Married,Some college,Employed full-time,$75k-100k,24,Yes,No,No,Purchased,Yes,No
50,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,24,Yes,No,Yes,Purchased,Yes,No
47,Female,White,Married,Some college,Employed part-time,$100k-150k,24,Yes,No,No,Borrowed from library,Yes,Yes
47,Female,White,Never been married,Post-graduate,Unemployed,$100k-150k,24,Yes,No,Yes,Purchased,No,No
41,Male,White,Married,College,Retired,$100k-150k,24,Yes,No,Yes,Purchased,Yes,Yes
33,Female,White,Married,Post-graduate,Unemployed,$30k-40k,24,Yes,No,No,Purchased,No,Yes
17,Female,White,Never been married,Some high school,Unemployed,$75k-100k,24,Yes,No,No,Borrowed from others,Yes,Yes
21,Female,White,Never been married,College,Employed full-time,$100k-150k,23,Yes,No,Yes,Purchased,Yes,Yes
58,Female,White,Married,Some college,Employed part-time,$100k-150k,22,Yes,Yes,Yes,Purchased,Yes,No
21,Male,Other,Living with a partner,Some high school,Employed part-time,$40k-50k,20,Yes,No,No,Purchased,No,Yes
40,Female,Native American,Divorced,Post-graduate,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,Yes,Yes
39,Male,Mixed race,Never been married,College,Employed full-time,$40k-50k,20,Yes,No,No,Purchased,No,No
27,Female,Mixed race,Married,Some college,Employed full-time,$100k-150k,20,No,Yes,No,Purchased,Yes,Yes
24,Male,Mixed race,Never been married,Post-graduate,Employed full-time,$100k-150k,20,Yes,No,Yes,Borrowed from others,No,No
17,Female,Mixed race,Never been married,Some high school,Employed full-time,<$10k,20,Yes,Yes,Yes,Other sources,Yes,No
17,Female,Mixed race,Never been married,Some high school,Unemployed,$100k-150k,20,Yes,No,No,Borrowed from others,No,No
16,Male,Mixed race,Never been married,Some high school,Student,$100k-150k,20,Yes,No,Yes,Purchased,No,Yes
47,Male,Asian/Pacific Islander,Married,Trade school,Student,$100k-150k,20,Yes,No,No,Purchased,No,Yes
34,Female,Asian/Pacific Islander,Married,Post-graduate,Employed full-time,$100k-150k,20,Yes,No,Yes,Other sources,No,Yes
78,Female,Black/African-American,Widowed,High school,Retired,$100k-150k,20,No,No,Yes,Purchased,No,Yes
60,Male,Black/African-American,Married,Post-graduate,Employed full-time,$40k-50k,20,Yes,Yes,No,Purchased,Yes,Yes
56,Female,Black/African-American,Divorced,High school,Employed full-time,$20k-30k,20,Yes,No,No,Borrowed from others,Yes,No
47,Male,Black/African-American,Married,Some college,Employed full-time,$30k-40k,20,Yes,No,No,Borrowed from library,Yes,Yes
47,Male,Black/African-American,Married,High school,Employed full-time,$40k-50k,20,Yes,Yes,Yes,Borrowed from others,Yes,No
37,Male,Black/African-American,Married,College,Employed full-time,$75k-100k,20,Yes,No,No,Purchased,Yes,Yes
37,Male,Black/African-American,Living with a partner,Some college,Employed full-time,$10k-20k,20,Yes,No,No,Other sources,Yes,No
31,Female,Black/African-American,Living with a partner,High school,Employed full-time,$30k-40k,20,Yes,No,No,Other sources,Yes,Yes
22,Female,Black/African-American,Never been married,Some college,Unemployed,$40k-50k,20,Yes,No,Yes,Purchased,No,Yes
17,Female,Black/African-American,Never been married,Some high school,Unemployed,$100k-150k,20,Yes,No,No,Borrowed from library,No,Yes
83,Female,White,Widowed,Post-graduate,Retired,$75k-100k,20,Yes,No,Yes,Purchased,No,No
80,Female,White,Divorced,Some college,Retired,$10k-20k,20,Yes,No,No,Borrowed from others,Yes,No
73,Female,White,Divorced,College,Employed full-time,$50k-75k,20,Yes,No,Yes,Other sources,Yes,Yes
72,Male,White,Divorced,College,Retired,$100k-150k,20,Yes,Yes,Yes,Purchased,Yes,Yes
72,Female,White,Married,High school,Retired,$100k-150k,20,Yes,No,No,Borrowed from library,No,Yes
70,Male,White,Divorced,College,Retired,$75k-100k,20,Yes,No,No,Purchased,Yes,No
70,Female,White,Married,Post-graduate,Employed part-time,$50k-75k,20,Yes,No,Yes,Borrowed from library,Yes,No
70,Female,White,Married,High school,Employed part-time,$30k-40k,20,Yes,No,Yes,Borrowed from library,Yes,Yes
70,Male,White,Married,Post-graduate,Retired,$50k-75k,20,Yes,No,Yes,Purchased,Yes,Yes
70,Female,White,Married,Post-graduate,Retired,$100k-150k,20,Yes,No,No,Borrowed from others,Yes,Yes
69,Female,White,Widowed,Some college,Retired,$20k-30k,20,Yes,No,No,Borrowed from library,No,No
69,Female,White,Married,College,Retired,$40k-50k,20,Yes,Yes,Yes,Purchased,No,Yes
69,Male,White,Married,College,Retired,$75k-100k,20,Yes,No,No,Purchased,Yes,Yes
68,Male,White,Married,College,Retired,$30k-40k,20,Yes,No,Yes,Purchased,Yes,Yes
68,Female,White,Married,Post-graduate,Retired,$50k-75k,20,Yes,Yes,Yes,Purchased,No,Yes
68,Female,White,Married,College,Retired,$100k-150k,20,Yes,No,Yes,Purchased,Yes,Yes
68,Female,White,Married,High school,Retired,$30k-40k,20,Yes,No,No,Purchased,Yes,No
67,Male,White,Married,College,Retired,$100k-150k,20,No,No,Yes,Purchased,Yes,No
66,Female,White,Never been married,Post-graduate,Employed full-time,$100k-150k,20,Yes,Yes,Yes,Purchased,Yes,Yes
65,Female,White,Married,Post-graduate,Retired,$75k-100k,20,Yes,No,Yes,Purchased,Yes,Yes
65,Female,White,Married,Some college,Retired,$100k-150k,20,Yes,No,Yes,Purchased,No,No
64,Male,White,Married,Post-graduate,Retired,$75k-100k,20,Yes,No,Yes,Purchased,Yes,Yes
64,Female,White,Single,Post-graduate,Employed part-time,$50k-75k,20,Yes,No,No,Purchased,Yes,Yes
63,Female,White,Married,High school,Retired,$75k-100k,20,Yes,No,No,Borrowed from library,Yes,Yes
63,Female,White,Married,College,Retired,$100k-150k,20,Yes,No,No,Purchased,Yes,Yes
62,Female,White,Divorced,Post-graduate,Employed full-time,$40k-50k,20,Yes,No,No,Purchased,Yes,Yes
62,Female,White,Married,Some college,Employed full-time,$30k-40k,20,Yes,No,No,Purchased,No,No
62,Female,White,Married,Post-graduate,Employed part-time,$100k-150k,20,No,Yes,Yes,Purchased,No,No
62,Male,White,Married,Post-graduate,Employed full-time,$75k-100k,20,Yes,No,No,Borrowed from others,Yes,Yes
62,Female,White,Married,Some college,Retired,$100k-150k,20,Yes,No,No,Borrowed from library,Yes,No
61,Female,White,Divorced,Post-graduate,Employed part-time,$30k-40k,20,Yes,Yes,Yes,Purchased,Yes,No
60,Male,White,Married,Some college,Employed full-time,$50k-75k,20,Yes,No,No,Borrowed from others,Yes,No
60,Male,White,Married,Some college,Retired,$100k-150k,20,Yes,No,No,Purchased,Yes,No
60,Female,White,Married,Some college,Employed part-time,$100k-150k,20,Yes,No,Yes,Borrowed from others,Yes,Yes
60,Male,White,Married,High school,Retired,$50k-75k,20,Yes,No,No,Purchased,Yes,Yes
60,Male,White,Divorced,Post-graduate,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,Yes,Yes
59,Female,White,Married,College,Unemployed,$100k-150k,20,No,No,Yes,Purchased,Yes,No
59,Female,White,Married,College,Disabled,$40k-50k,20,Yes,No,No,Other sources,Yes,Yes
58,Male,White,Married,College,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,Yes,Yes
57,Female,White,Married,Post-graduate,Employed full-time,$75k-100k,20,Yes,No,No,Purchased,Yes,Yes
56,Female,White,Married,Post-graduate,Employed full-time,$75k-100k,20,Yes,No,No,Other sources,Yes,Yes
56,Female,White,Married,College,Employed full-time,$50k-75k,20,Yes,No,No,Purchased,Yes,Yes
56,Male,White,Married,College,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,Yes,Yes
55,Male,White,Married,Some college,Employed full-time,$50k-75k,20,No,Yes,No,Purchased,No,No
55,Female,White,Divorced,High school,Employed full-time,<$10k,20,Yes,No,No,Purchased,Yes,No
55,Male,White,Married,College,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,Yes,Yes
54,Male,White,Living with a partner,Some college,Employed full-time,$40k-50k,20,Yes,No,No,Other sources,No,No
54,Male,White,Married,College,Employed full-time,$75k-100k,20,Yes,No,No,Purchased,Yes,Yes
54,Male,White,Divorced,College,Employed full-time,$100k-150k,20,Yes,No,No,Purchased,Yes,Yes
54,Male,White,Married,High school,Employed part-time,$30k-40k,20,Yes,No,Yes,Other sources,Yes,No
54,Male,White,Never been married,Post-graduate,Retired,$40k-50k,20,Yes,No,Yes,Purchased,Yes,Yes
53,Female,White,Divorced,High school,Employed part-time,$10k-20k,20,No,No,Yes,Purchased,Yes,No
52,Female,White,Never been married,Some college,Employed full-time,$30k-40k,20,Yes,No,No,Purchased,Yes,Yes
52,Female,White,Divorced,Some college,Employed full-time,$20k-30k,20,Yes,No,No,Borrowed from others,Yes,Yes
50,Male,White,Never been married,College,Employed full-time,$100k-150k,20,Yes,Yes,Yes,Purchased,No,Yes
49,Female,White,Living with a partner,High school,Employed full-time,$30k-40k,20,Yes,No,No,Borrowed from others,Yes,No
48,Male,White,Married,Post-graduate,Employed full-time,$50k-75k,20,Yes,Yes,No,Purchased,Yes,Yes
48,Female,White,Living with a partner,College,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,Yes,Yes
48,Female,White,Married,Some college,Employed part-time,$50k-75k,20,Yes,Yes,No,Borrowed from others,Yes,Yes
48,Female,White,Married,Post-graduate,Employed full-time,$100k-150k,20,Yes,No,Yes,Other sources,No,Yes
47,Female,White,Married,Post-graduate,Employed part-time,$100k-150k,20,Yes,Yes,No,Borrowed from library,Yes,Yes
47,Female,White,Married,College,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,No,Yes
45,Female,White,Married,Post-graduate,Employed full-time,$50k-75k,20,Yes,Yes,Yes,Purchased,No,Yes
44,Male,White,Married,Post-graduate,Employed full-time,$75k-100k,20,Yes,No,No,Borrowed from others,Yes,Yes
44,Female,White,Married,Post-graduate,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,Yes,Yes
44,Male,White,Married,Some college,Retired,$50k-75k,20,Yes,Yes,Yes,Other sources,Yes,Yes
44,Male,White,Married,College,Unemployed,$50k-75k,20,Yes,No,No,Other sources,No,No
43,Female,White,Married,College,Employed full-time,$75k-100k,20,Yes,No,Yes,Purchased,No,Yes
43,Female,White,Never been married,Post-graduate,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,No,Yes
42,Female,White,Married,High school,Employed full-time,$40k-50k,20,No,Yes,No,Borrowed from library,Yes,No
42,Male,White,Married,College,Employed full-time,$100k-150k,20,Yes,Yes,No,Borrowed from library,No,No
42,Female,White,Married,High school,Employed full-time,$50k-75k,20,Yes,No,No,Borrowed from others,No,No
40,Female,White,Married,Post-graduate,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,Yes,Yes
40,Male,White,Married,Post-graduate,Employed full-time,$75k-100k,20,Yes,Yes,Yes,Borrowed from library,Yes,Yes
40,Male,White,Married,College,Employed full-time,$75k-100k,20,Yes,Yes,No,Purchased,Yes,Yes
39,Male,White,Married,College,Employed full-time,$100k-150k,20,Yes,No,No,Purchased,Yes,Yes
38,Female,White,Married,Some college,Employed part-time,$30k-40k,20,Yes,No,No,Borrowed from others,Yes,Yes
38,Female,White,Living with a partner,Post-graduate,Employed full-time,$50k-75k,20,Yes,No,Yes,Purchased,Yes,No
38,Male,White,Married,Some college,Employed full-time,$75k-100k,20,Yes,Yes,No,Purchased,Yes,No
37,Female,White,Married,College,Unemployed,$50k-75k,20,Yes,No,Yes,Borrowed from others,Yes,No
34,Male,White,Never been married,Some college,Student,$50k-75k,20,Yes,No,Yes,Purchased,Yes,No
34,Female,White,Married,Some college,Employed full-time,$30k-40k,20,Yes,No,Yes,Other sources,Yes,No
33,Female,White,Married,Post-graduate,Employed full-time,$30k-40k,20,Yes,No,No,Other sources,Yes,Yes
33,Male,White,Married,Some college,Employed full-time,$75k-100k,20,Yes,Yes,Yes,Purchased,Yes,Yes
33,Male,White,Married,Post-graduate,Employed full-time,$50k-75k,20,Yes,Yes,Yes,Purchased,Yes,Yes
33,Male,White,Married,College,Employed full-time,$75k-100k,20,Yes,No,No,Purchased,No,Yes
33,Female,White,Married,Some college,Unemployed,$50k-75k,20,Yes,No,Yes,Purchased,No,Yes
33,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,20,Yes,No,Yes,Purchased,Yes,No
32,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,20,Yes,Yes,No,Other sources,Yes,Yes
32,Female,White,Married,Some college,Employed full-time,$75k-100k,20,Yes,No,Yes,Purchased,Yes,No
31,Female,White,Married,Post-graduate,Employed full-time,$100k-150k,20,Yes,Yes,No,Borrowed from others,Yes,No
31,Female,White,Married,Some college,Other,$75k-100k,20,No,No,Yes,Purchased,Yes,Yes
30,Male,White,Never been married,College,Employed full-time,$100k-150k,20,No,No,No,Purchased,No,No
26,Female,White,Married,College,Employed full-time,$40k-50k,20,Yes,No,Yes,Purchased,No,No
26,Female,White,Married,College,Employed full-time,$75k-100k,20,Yes,No,Yes,Purchased,No,Yes
26,Female,White,Married,High school,Employed full-time,$30k-40k,20,Yes,No,Yes,Other sources,Yes,No
26,Male,White,Living with a partner,High school,Unemployed,$30k-40k,20,Yes,No,Yes,Purchased,Yes,Yes
25,Male,White,Never been married,College,Employed full-time,$50k-75k,20,Yes,Yes,Yes,Borrowed from others,Yes,Yes
24,Female,White,Married,College,Unemployed,$40k-50k,20,Yes,No,No,Purchased,No,Yes
24,Male,White,Never been married,College,Employed full-time,$75k-100k,20,Yes,No,No,Other sources,Yes,Yes
24,Female,White,Married,Some college,Employed full-time,$40k-50k,20,Yes,Yes,No,Purchased,No,No
24,Female,White,Never been married,Some college,Employed full-time,$100k-150k,20,Yes,No,No,Purchased,No,Yes
23,Male,White,Never been married,Some college,Employed full-time,$10k-20k,20,Yes,No,No,Purchased,Yes,No
23,Female,White,Never been married,Some college,Unemployed,$100k-150k,20,Yes,No,Yes,Purchased,No,No
23,Female,White,Never been married,Post-graduate,Student,$40k-50k,20,Yes,Yes,Yes,Borrowed from others,No,No
22,Female,White,Single,Post-graduate,Employed part-time,$75k-100k,20,Yes,No,No,Purchased,No,No
21,Female,White,Single,Some college,Unemployed,$100k-150k,20,Yes,No,No,Purchased,No,Yes
21,Male,White,Never been married,College,Employed full-time,$75k-100k,20,Yes,No,Yes,Purchased,Yes,Yes
20,Female,White,Never been married,Some college,Employed part-time,$50k-75k,20,Yes,No,Yes,Borrowed from others,Yes,Yes
19,Female,White,Never been married,Some college,Employed part-time,$30k-40k,20,Yes,No,Yes,Borrowed from library,No,No
18,Female,White,Never been married,High school,Employed full-time,$10k-20k,20,Yes,No,No,Purchased,No,No
17,Female,White,Never been married,Some high school,Unemployed,$10k-20k,20,Yes,No,No,Borrowed from library,No,No
17,Male,White,Never been married,Some high school,Unemployed,$30k-40k,20,Yes,No,Yes,Borrowed from library,No,Yes
17,Female,White,Never been married,Some high school,Unemployed,$100k-150k,20,Yes,No,No,Borrowed from others,No,Yes
16,Male,White,Never been married,Some high school,Unemployed,$100k-150k,20,Yes,No,No,Borrowed from library,Yes,No
16,Female,White,Never been married,Some high school,Student,$20k-30k,20,Yes,No,No,Borrowed from library,Yes,Yes
16,Male,White,Never been married,Some high school,Employed part-time,$20k-30k,20,Yes,No,No,Purchased,No,No
16,Female,White,Never been married,Some high school,Unemployed,$100k-150k,20,Yes,No,No,Purchased,No,No
16,Male,White,Never been married,Some high school,Employed part-time,$10k-20k,20,Yes,No,Yes,Borrowed from others,Yes,No
16,Female,White,Never been married,Some high school,Unemployed,$50k-75k,20,Yes,Yes,No,Purchased,No,Yes
16,Male,White,Never been married,Some high school,Unemployed,$100k-150k,20,Yes,No,Yes,Other sources,Yes,Yes
18,Female,White,Never been married,High school,Employed part-time,$100k-150k,19,Yes,No,No,Purchased,Yes,No
76,Male,White,Married,Some college,Employed part-time,$75k-100k,18,Yes,Yes,Yes,Purchased,Yes,No
72,Female,White,Widowed,College,Retired,$30k-40k,18,Yes,Yes,No,Borrowed from library,Yes,Yes
68,Female,White,Married,Post-graduate,Unemployed,$100k-150k,18,Yes,No,No,Purchased,Yes,Yes
64,Female,White,Married,Post-graduate,Retired,$40k-50k,18,Yes,Yes,Yes,Borrowed from library,No,Yes
61,Female,White,Married,College,Employed part-time,$100k-150k,18,Yes,No,No,Purchased,Yes,Yes
53,Male,White,Married,Post-graduate,Employed full-time,$100k-150k,18,No,Yes,Yes,Purchased,Yes,No
53,Female,White,Never been married,Trade school,Disabled,<$10k,18,Yes,No,No,Purchased,No,No
51,Male,White,Married,Some college,Employed full-time,$75k-100k,18,Yes,Yes,Yes,Purchased,Yes,Yes
50,Male,White,Married,High school,Employed full-time,$50k-75k,18,Yes,No,Yes,Purchased,Yes,Yes
31,Female,White,Married,High school,Unemployed,<$10k,18,Yes,No,No,Purchased,No,Yes
60,Male,White,Married,College,Employed full-time,$100k-150k,17,Yes,Yes,No,Borrowed from others,No,No
43,Female,White,Widowed,College,Employed full-time,$40k-50k,17,Yes,No,Yes,Borrowed from others,Yes,Yes
30,Female,White,Married,Post-graduate,Employed full-time,$100k-150k,17,Yes,No,Yes,Purchased,Yes,No
25,Male,White,Never been married,College,Employed full-time,$50k-75k,17,Yes,No,Yes,Other sources,No,Yes
17,Male,White,Never been married,High school,Unemployed,$20k-30k,17,Yes,No,Yes,Borrowed from library,No,No
35,Male,Asian/Pacific Islander,Married,Post-graduate,Employed full-time,$100k-150k,16,Yes,No,Yes,Purchased,No,No
50,Male,Black/African-American,Single,High school,Unemployed,<$10k,16,Yes,No,No,Purchased,Yes,Yes
79,Female,White,Divorced,Post-graduate,Retired,$50k-75k,16,Yes,No,No,Purchased,Yes,Yes
79,Female,White,Widowed,Some high school,Unemployed,$30k-40k,16,Yes,No,No,Purchased,Yes,Yes
78,Female,White,Widowed,High school,Retired,$20k-30k,16,Yes,No,No,Other sources,No,Yes
67,Male,White,Single,Some college,Retired,$10k-20k,16,Yes,No,No,Purchased,Yes,No
65,Male,White,Married,Post-graduate,Retired,$100k-150k,16,Yes,No,No,Borrowed from others,Yes,Yes
40,Female,White,Married,Post-graduate,Employed full-time,$75k-100k,16,No,No,Yes,Purchased,Yes,Yes
22,Male,White,Never been married,Some high school,Employed full-time,<$10k,16,Yes,No,No,Borrowed from others,Yes,No
37,Female,Other,Married,Post-graduate,Unemployed,$100k-150k,15,Yes,No,No,Purchased,Yes,Yes
36,Female,Other,Married,College,Employed full-time,$100k-150k,15,Yes,Yes,Yes,Purchased,Yes,No
69,Male,Mixed race,Married,College,Retired,<$10k,15,Yes,No,No,Purchased,Yes,No
38,Female,Mixed race,Married,College,Unemployed,$100k-150k,15,Yes,No,No,Purchased,No,Yes
57,Male,Asian/Pacific Islander,Married,College,Unemployed,$100k-150k,15,Yes,No,No,Purchased,No,Yes
50,Male,Asian/Pacific Islander,Married,Post-graduate,Employed full-time,$100k-150k,15,Yes,No,Yes,Purchased,Yes,Yes
